id_municipio,uf,municipio,longitude,latitude
1602,MG,Dores de Guanhães,-42.925373,-19.051607
1603,MG,Dores do Indaiá,-45.592741,-19.462789
1604,MG,Dores do Turvo,-43.18343,-20.978477
1605,MG,Doresópolis,-45.900725,-20.286828
1606,MG,Douradoquara,-47.59931,-18.433784
1607,MG,Durandé,-41.79772,-20.205817
1608,MG,Elói Mendes,-45.569064,-21.608806
1609,MG,Engenheiro Caldas,-42.050305,-19.206497
1610,MG,Engenheiro Navarro,-43.946966,-17.283128
1611,MG,Entre Folhas,-42.230555,-19.621811
1612,MG,Entre Rios de Minas,-44.065392,-20.67063
1613,MG,Ervália,-42.654422,-20.840258
1614,MG,Esmeraldas,-44.306485,-19.76402
1615,MG,Espera Feliz,-41.911927,-20.650762
1616,MG,Espinosa,-42.809015,-14.924948
1617,MG,Espírito Santo do Dourado,-45.95477,-22.045368
1618,MG,Estiva,-46.01905,-22.457694
1619,MG,Estrela Dalva,-42.45743,-21.741231
1620,MG,Estrela do Indaiá,-45.78595,-19.516888
1621,MG,Estrela do Sul,-47.695643,-18.73994
1622,MG,Eugenópolis,-42.187834,-21.100153
1623,MG,Ewbank da Câmara,-43.506803,-21.549819
1624,MG,Extrema,-46.317816,-22.853991
1625,MG,Fama,-45.828617,-21.408898
1626,MG,Faria Lemos,-42.021317,-20.809745
1628,MG,Felisburgo,-40.760502,-16.634828
1629,MG,Felixlândia,-44.900376,-18.750669
1627,MG,Felício dos Santos,-43.242206,-18.075546
1630,MG,Fernandes Tourinho,-42.080259,-19.154087
1631,MG,Ferros,-43.019232,-19.234309
1632,MG,Fervedouro,-42.278997,-20.72600
1633,MG,Florestal,-44.431758,-19.888043
1634,MG,Formiga,-45.426793,-20.461819
1635,MG,Formoso,-46.237075,-14.944633
1636,MG,Fortaleza de Minas,-46.712029,-20.850765
1637,MG,Fortuna de Minas,-44.447177,-19.557755
1638,MG,Francisco Badaró,-42.356813,-16.988284
1639,MG,Francisco Dumont,-44.23171,-17.310678
1641,MG,Francisco Sá,-43.489615,-16.482729
1640,MG,Franciscópolis,-42.009382,-17.957766
1642,MG,Frei Gaspar,-41.432522,-18.070898
1643,MG,Frei Inocêncio,-41.912087,-18.555602
1644,MG,Frei Lagonegro,-42.761711,-18.1751
1645,MG,Fronteira,-49.198423,-20.274848
1646,MG,Fronteira dos Vales,-40.922992,-16.889807
1647,MG,Fruta de Leite,-42.528772,-16.122458
1648,MG,Frutal,-48.935497,-20.025875
1649,MG,Funilândia,-44.060976,-19.36613
1650,MG,Galiléia,-41.538653,-19.000464
1651,MG,Gameleiras,-43.124982,-15.082855
1652,MG,Glaucilândia,-43.691952,-16.848056
1653,MG,Goiabeira,-41.223526,-18.980659
1654,MG,Goianá,-43.195664,-21.536045
1656,MG,Gonzaga,-42.476908,-18.819608
1655,MG,Gonçalves,-45.855566,-22.654535
1657,MG,Gouveia,-43.742294,-18.451944
1658,MG,Governador Valadares,-41.95553,-18.854452
1660,MG,Grupiara,-47.731787,-18.500302
1659,MG,Grão Mogol,-42.892306,-16.566232
1661,MG,Guanhães,-42.931231,-18.771284
1662,MG,Guapé,-45.915233,-20.763079
1663,MG,Guaraciaba,-43.009389,-20.571571
1664,MG,Guaraciama,-43.667525,-17.014173
1666,MG,Guarani,-43.032777,-21.356334
1665,MG,Guaranésia,-46.796352,-21.300921
1667,MG,Guarará,-43.033434,-21.730352
1668,MG,Guarda-Mor,-47.099756,-17.767307
1669,MG,Guaxupé,-46.708053,-21.305007
1670,MG,Guidoval,-42.788746,-21.155034
1671,MG,Guimarânia,-46.790145,-18.84246
1672,MG,Guiricema,-42.720659,-21.00985
1673,MG,Gurinhatã,-49.787631,-19.214281
1674,MG,Heliodora,-45.545325,-22.064401
1675,MG,Iapu,-42.214725,-19.438704
1676,MG,Ibertioga,-43.963896,-21.433032
1678,MG,Ibiaí,-44.904622,-16.859077
1679,MG,Ibiracatu,-44.166707,-15.660525
1680,MG,Ibiraci,-47.12215,-20.461058
1681,MG,Ibirité,-44.056882,-20.025188
1682,MG,Ibitiúra de Minas,-46.43681,-22.060402
1683,MG,Ibituruna,-44.747913,-21.15414
1677,MG,Ibiá,-46.547406,-19.474948
1684,MG,Icaraí de Minas,-44.903359,-16.213968
1685,MG,Igarapé,-44.299449,-20.070671
1686,MG,Igaratinga,-44.706324,-19.947597
1687,MG,Iguatama,-45.711114,-20.17763
1688,MG,Ijaci,-44.923265,-21.173785
1689,MG,Ilicínea,-45.830849,-20.940222
1690,MG,Imbé de Minas,-41.969455,-19.601721
1691,MG,Inconfidentes,-46.326412,-22.313561
1692,MG,Indaiabira,-42.200514,-15.491056
1693,MG,Indianópolis,-47.915457,-19.034141
1694,MG,Ingaí,-44.915158,-21.402428
1695,MG,Inhapim,-42.114721,-19.54755
1696,MG,Inhaúma,-44.393394,-19.489843
1697,MG,Inimutaba,-44.358373,-18.727128
1698,MG,Ipaba,-42.413923,-19.415819
1699,MG,Ipanema,-41.716449,-19.799152
1700,MG,Ipatinga,-42.547612,-19.470275
1701,MG,Ipiaçu,-49.943614,-18.692716
1702,MG,Ipuiúna,-46.191495,-22.101264
1703,MG,Iraí de Minas,-47.460972,-18.981948
1704,MG,Itabira,-43.23123,-19.623936
1705,MG,Itabirinha,-41.232597,-18.569104
1706,MG,Itabirito,-43.803846,-20.250132
1707,MG,Itacambira,-43.306933,-17.062469
1708,MG,Itacarambi,-44.095005,-15.089028
1709,MG,Itaguara,-44.487507,-20.394695
1710,MG,Itaipé,-41.669654,-17.401419
1711,MG,Itajubá,-45.459818,-22.422481
1712,MG,Itamarandiba,-42.85612,-17.855157
1713,MG,Itamarati de Minas,-42.812969,-21.417935
1714,MG,Itambacuri,-41.682979,-18.03496
1715,MG,Itambé do Mato Dentro,-43.31825,-19.415761
1716,MG,Itamogi,-47.045962,-21.075824
1717,MG,Itamonte,-44.868021,-22.285912
1718,MG,Itanhandu,-44.938243,-22.294191
1719,MG,Itanhomi,-41.863017,-19.173587
1720,MG,Itaobim,-41.501692,-16.55707
1721,MG,Itapagipe,-49.378137,-19.906163
1722,MG,Itapecerica,-45.126994,-20.470372
1723,MG,Itapeva,-46.224053,-22.766488
1724,MG,Itatiaiuçu,-44.421081,-20.198257
1727,MG,Itaverava,-43.614106,-20.676853
1725,MG,Itaú de Minas,-46.752512,-20.737499
1726,MG,Itaúna,-44.580112,-20.081798
1728,MG,Itinga,-41.767194,-16.609972
1729,MG,Itueta,-41.174619,-19.399935
1730,MG,Ituiutaba,-49.463945,-18.977191
1731,MG,Itumirim,-44.872364,-21.317054
1732,MG,Iturama,-50.19656,-19.727566
1733,MG,Itutinga,-44.656731,-21.300017
1734,MG,Jaboticatubas,-43.737257,-19.511938
1735,MG,Jacinto,-40.294991,-16.142756
1737,MG,Jacutinga,-46.616575,-22.28597
1736,MG,Jacuí,-46.73588,-21.013662
1738,MG,Jaguaraçu,-42.74982,-19.647001
1740,MG,Jampruca,-41.809049,-18.461016
1741,MG,Janaúba,-43.313168,-15.802228
1742,MG,Januária,-44.363889,-15.480154
1743,MG,Japaraíba,-45.50151,-20.144184
1744,MG,Japonvar,-44.275829,-15.989139
1739,MG,Jaíba,-43.668802,-15.343224
1745,MG,Jeceaba,-43.989394,-20.533852
1746,MG,Jenipapo de Minas,-42.258934,-17.083129
1747,MG,Jequeri,-42.665064,-20.454229
1748,MG,Jequitaí,-44.437588,-17.229025
1749,MG,Jequitibá,-44.0304,-19.234491
1750,MG,Jequitinhonha,-41.011717,-16.437482
1751,MG,Jesuânia,-45.291122,-21.988655
1753,MG,Joanésia,-42.677481,-19.172897
1756,MG,Joaquim Felício,-44.164274,-17.758022
1752,MG,Joaíma,-41.022873,-16.652189
1757,MG,Jordânia,-40.184051,-15.900924
1759,MG,Josenópolis,-42.515056,-16.541697
1758,MG,José Gonçalves de Minas,-42.601384,-16.905329
1760,MG,José Raydan,-42.494643,-18.219505
1754,MG,João Monlevade,-43.173463,-19.812646
1755,MG,João Pinheiro,-46.17154,-17.739768
1761,MG,Juatuba,-44.34505,-19.94484
1762,MG,Juiz de Fora,-43.339759,-21.75952
1763,MG,Juramento,-43.586457,-16.847322
1764,MG,Juruaia,-46.573541,-21.24931
1765,MG,Juvenília,-44.159656,-14.266238
1766,MG,Ladainha,-41.748824,-17.627886
1767,MG,Lagamar,-46.806343,-18.175918
1770,MG,Lagoa Dourada,-44.079717,-20.913858
1771,MG,Lagoa Formosa,-46.401236,-18.771489
1772,MG,Lagoa Grande,-46.516519,-17.832265
1773,MG,Lagoa Santa,-43.893216,-19.63967
1768,MG,Lagoa da Prata,-45.540149,-20.023728
1769,MG,Lagoa dos Patos,-44.575374,-16.977954
1774,MG,Lajinha,-41.622818,-20.153941
1775,MG,Lambari,-45.349822,-21.967088
1776,MG,Lamim,-43.470615,-20.789999
1777,MG,Laranjal,-42.473151,-21.371478
1778,MG,Lassance,-44.573491,-17.88698
1779,MG,Lavras,-45.000949,-21.248002
1780,MG,Leandro Ferreira,-45.027855,-19.719307
1781,MG,Leme do Prado,-42.69357,-17.079273
1782,MG,Leopoldina,-42.642123,-21.52963
1783,MG,Liberdade,-44.320752,-22.027491
1784,MG,Lima Duarte,-43.793412,-21.838597
1785,MG,Limeira do Oeste,-50.581489,-19.551212
1786,MG,Lontra,-44.306037,-15.901295
1787,MG,Luisburgo,-42.097642,-20.446753
1788,MG,Luislândia,-44.588579,-16.109483
1789,MG,Luminárias,-44.903384,-21.514485
1790,MG,Luz,-45.679444,-19.791085
1791,MG,Machacalis,-40.724476,-17.072273
1792,MG,Machado,-45.921855,-21.677757
1793,MG,Madre de Deus de Minas,-44.32873,-21.483017
1794,MG,Malacacheta,-42.076907,-17.845647
1795,MG,Mamonas,-42.946858,-15.047941
1796,MG,Manga,-43.939053,-14.752892
1797,MG,Manhuaçu,-42.027987,-20.257226
1798,MG,Manhumirim,-41.958933,-20.359116
1799,MG,Mantena,-40.987368,-18.776071
1801,MG,Mar de Espanha,-43.006206,-21.870728
1800,MG,Maravilhas,-44.677875,-19.507627
1802,MG,Maria da Fé,-45.377277,-22.304417
1803,MG,Mariana,-43.414034,-20.376514
1804,MG,Marilac,-42.082207,-18.507897
1806,MG,Maripá de Minas,-42.954589,-21.697919
1807,MG,Marliéria,-42.732693,-19.709601
1808,MG,Marmelópolis,-45.164541,-22.447004
1809,MG,Martinho Campos,-45.243411,-19.330573
1810,MG,Martins Soares,-41.878592,-20.254562
1811,MG,Mata Verde,-40.736559,-15.686917
1812,MG,Materlândia,-43.0579,-18.469911
1813,MG,Mateus Leme,-44.431831,-19.979424
1814,MG,Mathias Lobato,-41.916564,-18.590035
1815,MG,Matias Barbosa,-43.313475,-21.868953
1816,MG,Matias Cardoso,-43.914565,-14.856304
1817,MG,Matipó,-42.340145,-20.287264
1818,MG,Mato Verde,-42.859984,-15.394396
1819,MG,Matozinhos,-44.086786,-19.554318
1820,MG,Matutina,-45.96635,-19.217912
1821,MG,Medeiros,-46.218053,-19.98651
1822,MG,Medina,-41.472764,-16.224538
1823,MG,Mendes Pimentel,-41.405228,-18.663116
1824,MG,Mercês,-43.333662,-21.197585
1825,MG,Mesquita,-42.607877,-19.224022
1826,MG,Minas Novas,-42.588435,-17.215603
